Time Latitude Longitude Altitude
2020-01-01T23:30:00.000 0.01677338477061556 -12.18148863895363 -4427961.610912212

2020-01-01T23:31:00.522 -3.821689762556805 19.343114059791592 -4294795.473723299

2020-01-01T23:32:01.045 -6.087287438608858 44.580200567379464 -3956478.163359722

2020-01-01T23:33:01.567 -6.99447795950912 62.84745597558353 -3516521.595993706

2020-01-01T23:34:02.090 -7.202070968464734 76.02644386650852 -3041934.5827108645

2020-01-01T23:35:02.612 -7.101765573116258 85.84395237032072 -2564607.6199200926

2020-01-01T23:36:03.134 -6.873898754635542 93.43302677283597 -2098325.1805284256

2020-01-01T23:37:03.657 -6.598073621692866 99.4963954146416 -1648701.209022998

2020-01-01T23:38:04.179 -6.309674834992954 104.47614131593289 -1217706.6985054275

2020-01-01T23:39:04.702 -6.024473987917932 108.659636961392 -805671.7161116988

2020-01-01T23:40:05.224 -5.749279017163513 112.24042939695873 -412191.10873136844

2020-01-01T23:41:05.746 -5.4866918758828875 115.353282947596 -36546.98444948585

2020-01-01T23:42:06.269 -5.237316104422702 118.09486896009138 322089.66561507946

2020-01-01T23:43:06.791 -5.000816116222519 120.53637679898956 664562.1133694395

2020-01-01T23:44:07.314 -4.776438322020063 122.7314516015037 991682.3043308884

2020-01-01T23:45:07.836 -4.56327092509807 124.72134395440716 1304210.9015871699

2020-01-01T23:46:08.358 -4.360373079062728 126.53834462802888 1602850.2677177475

2020-01-01T23:47:08.881 -4.166837324827702 128.20813367013972 1888243.9264989928

2020-01-01T23:48:09.403 -3.9818175206413597 129.75142377242798 2160979.1559863775

2020-01-01T23:49:09.926 -3.8045389024430905 131.18513363869164 2421590.9593729

2020-01-01T23:50:10.448 -3.6342990265800204 132.52324135921936 2670566.4966182783

2020-01-01T23:51:10.970 -3.470464252662378 133.77741550367162 2908349.5060837134

2020-01-01T23:52:11.493 -3.312464253829789 134.95748897165316 3135344.4858184224

2020-01-01T23:53:12.015 -3.1597858724696755 136.0718197313762 3351920.5338939303

2020-01-01T23:54:12.538 -3.0119670027563714 137.12756893964738 3558414.8165469863

2020-01-01T23:55:13.060 -2.8685908331031467 138.13091787798143 3755135.668986853

2020-01-01T23:56:13.582 -2.7292805917448906 139.08723898402556 3942365.3514190787

2020-01-01T23:57:14.105 -2.5936948366736963 140.00123203045146 4120362.4904035935

2020-01-01T23:58:14.627 -2.461523278163483 140.87703356379237 4289364.23773881

2020-01-01T23:59:15.150 -2.3324830964460626 141.718305610004 4449588.17825913

2020-01-02T00:00:15.672 -2.206315706514554 142.52830815186377 4601234.015724518

2020-01-02T00:01:16.194 -2.0827839196009896 143.30995880587093 4744485.063187825

2020-01-02T00:02:16.717 -1.9616694526633587 144.0658823113978 4879509.561298709

2020-01-02T00:03:17.239 -1.8427707410653966 144.79845184976872 5006461.845176159

2020-01-02T00:04:17.762 -1.7259010141849118 145.50982377834427 5125483.377870267

2020-01-02T00:05:18.284 -1.610886598384905 146.20196701363756 5236703.666081114

2020-01-02T00:06:18.807 -1.4975654162590062 146.8766880394032 5340241.0717175165

2020-01-02T00:07:19.329 -1.385785655106771 147.53565233495357 5436203.531047434

2020-01-02T00:08:19.851 -1.2754045812008248 148.18040283794684 5524689.191593738

2020-01-02T00:09:20.374 -1.1662874795545846 148.81237596357306 5605786.975538777

2020-01-02T00:10:20.896 -1.0583067016166197 149.4329155905281 5679577.077192457

2020-01-02T00:11:21.419 -0.9513408056453659 150.04328535041336 5746131.401027409

2020-01-02T00:12:21.941 -0.8452737764994707 150.64467951181695 5805513.945869711

2020-01-02T00:13:22.463 -0.7399943132568446 151.23823268994533 5857781.140032834

2020-01-02T00:14:22.986 -0.6353951744893563 151.82502857525355 5902982.131480867

2020-01-02T00:15:23.508 -0.5313725722040537 152.40610785811216 5941159.03648709

2020-01-02T00:16:24.031 -0.42782560644667766 152.98247548913056 5972347.149703702

